DT_GERACAO,AA_ELEICAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,DS_GENERO,DS_ESTADO_CIVIL,DS_FAIXA_ETARIA,DS_GRAU_ESCOLARIDADE,DS_RACA_COR,DS_IDENTIDADE_GENERO,DS_QUILOMBOLA,QT_ELEITORES,QT_ELEITORES_BIOMETRIA,QT_ELEITORES_DEFICIENCIA,QT_ELEITORES_NOME_SOCIAL
14/07/2026,2026,AC,01392,RIO BRANCO,1,MASCULINO,SOLTEIRO,20 anos,ENSINO FUNDAMENTAL INCOMPLETO,Indígena,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,1,FEMININO,CASADO,30 a 34 anos,ENSINO MÉDIO COMPLETO,Parda,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01031,SANTA ROSA DO PURUS,3,MASCULINO,SOLTEIRO,75 a 79 anos,ANALFABETO,Indígena,Cisgênero,NÃO,3,3,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,VIÚVO,30 a 34 anos,ENSINO FUNDAMENTAL INCOMPLETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01120,ACRELÂNDIA,8,FEMININO,DIVORCIADO,35 a 39 anos,ENSINO FUNDAMENTAL COMPLETO,Parda,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01392,RIO BRANCO,9,MASCULINO,SOLTEIRO,20 anos,SUPERIOR COMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01538,SENADOR GUIOMARD,8,FEMININO,VIÚVO,45 a 49 anos,ENSINO MÉDIO INCOMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,FEMININO,DIVORCIADO,50 a 54 anos,ENSINO MÉDIO COMPLETO,NÃO INFORMADO,NÃO INFORMADO,NÃO INFORMADO,3,3,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,MASCULINO,SOLTEIRO,50 a 54 anos,ENSINO MÉDIO INCOMPLETO,Parda,Cisgênero,NÃO,2,2,0,0
14/07/2026,2026,AC,01015,CAPIXABA,2,MASCULINO,SOLTEIRO,60 a 64 anos,ANALFABETO,Preta,Cisgênero,NÃO,1,1,0,0
14/07/2026,2026,AC,01139,FEIJÓ,7,FEMININO,CASADO,30 a 34 anos,ENSINO MÉDIO COMPLETO,Indígena,Prefere não informar,NÃO,1,1,0,0
14/07/2026,2026,AC,01570,ASSIS BRASIL,6,FEMININO,SOLTEIRO,40 a 44 anos,ENSINO FUNDAMENTAL INCOMPLETO,Branca,Cisgênero,NÃO,2,2,0,0
