ANO_ELEICAO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO,QT_VOTOS_SAMIR,QT_VOTOS_VALIDOS_SECAO,Local_Busca_Geografica
2024,RIO BRANCO,1,752,INSTITUTO ÁGUIAS DO SABER,6,3859,"RIO BRANCO, Acre, Brasil, INSTITUTO ÁGUIAS DO SABER"
2024,RIO BRANCO,1,697,ESCOLA GLÓRIA PEREZ,11,3468,"RIO BRANCO, Acre, Brasil, ESCOLA GLÓRIA PEREZ"
2024,RIO BRANCO,1,651,ESCOLA ESTADUAL RAIMUNDO HERMINIO DE MELO,11,3328,"RIO BRANCO, Acre, Brasil, ESCOLA ESTADUAL RAIMUNDO HERMINIO DE MELO"
2024,RIO BRANCO,1,97,ESCOLA MARIA ANGÉLICA DE CASTRO,1,2569,"RIO BRANCO, Acre, Brasil, ESCOLA MARIA ANGÉLICA DE CASTRO"
2024,RIO BRANCO,1,99,ESCOLA MARIA ANGÉLICA DE CASTRO,1,2569,"RIO BRANCO, Acre, Brasil, ESCOLA MARIA ANGÉLICA DE CASTRO"
2024,RIO BRANCO,1,770,ESCOLA DR. MARIO DE OLIVEIRA,9,3700,"RIO BRANCO, Acre, Brasil, ESCOLA DR. MARIO DE OLIVEIRA"
2024,RIO BRANCO,9,221,ESCOLA ALMADA BRITO,4,1724,"RIO BRANCO, Acre, Brasil, ESCOLA ALMADA BRITO"
2024,RIO BRANCO,1,671,ESCOLA BERTA VIEIRA DE ANDRADE,6,3379,"RIO BRANCO, Acre, Brasil, ESCOLA BERTA VIEIRA DE ANDRADE"
2024,RIO BRANCO,1,473,ESCOLA PROFESSOR JOSUÉ FERNANDES,2,2712,"RIO BRANCO, Acre, Brasil, ESCOLA PROFESSOR JOSUÉ FERNANDES"
2024,RIO BRANCO,1,773,ESCOLA HUMBERTO SOARES,11,3492,"RIO BRANCO, Acre, Brasil, ESCOLA HUMBERTO SOARES"
2024,RIO BRANCO,1,6,COLÉGIO ESTADUAL BARÃO DO RIO BRANCO,6,1031,"RIO BRANCO, Acre, Brasil, COLÉGIO ESTADUAL BARÃO DO RIO BRANCO"
